username,event_timestamp,event_name,platform,status,ip_address,description,direct_privileges,effective_privileges,inheritance_chain,analyst_context,confidence_level
rachel.shields,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
carolyn.james,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 155 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 155 days but holds admin privilege,Medium
andrea.abbott,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access -> GG-HR-Staff -> GG-HR-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
heather.woodard,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 768 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 768 days,Medium
erin.hogan,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 131 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 131 days but holds admin privilege,Medium
monica.bailey,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 186 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins -> GG-HR-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 186 days but holds admin privilege,Medium
nathan.nichols,2026-06-20 08:00:00,Threat Alert: Dormant Admin Role Change,Active Directory,Warning,0.0.0.0,"Admin inactive 202 days, with a role change on 2024-04-25. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.. Remediation guidance: Confirm with HR/manager whether this is an active transition; if not, revoke admin access [MITRE: AC-2 - Account Management (dormancy review)].","GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins","Active threat rule triggered: RULE_7. detail: Admin inactive 202 days, with a role change on 2024-04-25. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",Medium
monica.bailey,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
omar.ware,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS -> GG-Finance-Staff -> GG-Finance-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
rhonda.brown,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,Active on AWS after termination. Remediation guidance: Immediately disable accounts on: AWS [MITRE: T1078 - Valid Accounts].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on AWS after termination,High
michele.evans,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
katherine.taylor,2026-06-20 08:00:00,Threat Alert: Inherited Admin,Active Directory,Warning,0.0.0.0,Effective admin through nested group: GG-Domain-Admins. Remediation guidance: Flatten group hierarchy or remove from GG-Domain-Admins [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk",GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins (Inherited)",Active threat rule triggered: RULE_4. detail: Effective admin through nested group: GG-Domain-Admins,Medium
katherine.taylor,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 478 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 478 days,Medium
tracey.wagner,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 211 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins -> GG-Sales-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 211 days but holds admin privilege,Medium
tracey.wagner,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
douglas.ryan,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 179 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins -> GG-Legal-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 179 days but holds admin privilege,Medium
douglas.ryan,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
douglas.ryan,2026-06-20 08:00:00,Threat Alert: Dormant Admin Role Change,Active Directory,Warning,0.0.0.0,"Admin inactive 179 days, with a role change on 2019-09-04. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.. Remediation guidance: Confirm with HR/manager whether this is an active transition; if not, revoke admin access [MITRE: AC-2 - Account Management (dormancy review)].","GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins -> GG-Legal-Staff -> GG-Domain-Admins","Active threat rule triggered: RULE_7. detail: Admin inactive 179 days, with a role change on 2019-09-04. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",Medium
greg.martinez,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,"Active on AWS, Okta after termination. Remediation guidance: Immediately disable accounts on: AWS, Okta [MITRE: T1078 - Valid Accounts].",arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,"Active threat rule triggered: RULE_1. detail: Active on AWS, Okta after termination",High
jacob.evans,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
courtney.dvm,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access -> GG-HR-Staff -> GG-HR-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
jennifer.kirby,2026-06-20 08:00:00,Threat Alert: Dormant Admin Role Change,Active Directory,Warning,0.0.0.0,"Admin inactive 135 days, with a role change on 2025-06-24. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.. Remediation guidance: Confirm with HR/manager whether this is an active transition; if not, revoke admin access [MITRE: AC-2 - Account Management (dormancy review)].","GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins","Active threat rule triggered: RULE_7. detail: Admin inactive 135 days, with a role change on 2025-06-24. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",Medium
nathan.nichols,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 202 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 202 days but holds admin privilege,Medium
justin.bishop,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 711 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 711 days,Medium
brandi.gordon,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,Okta,Alert,0.0.0.0,Active on Okta after termination. Remediation guidance: Immediately disable accounts on: Okta [MITRE: T1078 - Valid Accounts].,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",Okta Admin Console,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on Okta after termination,High
brandi.gordon,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 103 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk",GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins (Inherited)",Active threat rule triggered: RULE_2. detail: No login in 103 days but holds admin privilege,Medium
brandi.gordon,2026-06-20 08:00:00,Threat Alert: Inherited Admin,Active Directory,Warning,0.0.0.0,Effective admin through nested group: GG-Domain-Admins. Remediation guidance: Flatten group hierarchy or remove from GG-Domain-Admins [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk",GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins (Inherited)",Active threat rule triggered: RULE_4. detail: Effective admin through nested group: GG-Domain-Admins,Medium
alexis.rogers,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,Okta,Alert,0.0.0.0,Active on Okta after termination. Remediation guidance: Immediately disable accounts on: Okta [MITRE: T1078 - Valid Accounts].,"SharePoint, Slack, DocuSign, Relativity",Slack,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on Okta after termination,High
tiffany.turner,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 115 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 115 days but holds admin privilege,Medium
tiffany.turner,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
jared.shaw,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,Active on AWS after termination. Remediation guidance: Immediately disable accounts on: AWS [MITRE: T1078 - Valid Accounts].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on AWS after termination,High
lisa.perry,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
angela.griffin,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,2 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 2 privilege escalation events detected in audit log,High
brittany.murphy,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
brittany.murphy,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins -> GG-HR-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
christopher.taylor,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 762 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 762 days,Medium
christopher.taylor,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
kirk.griffin,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 151 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 151 days but holds admin privilege,Medium
kirk.griffin,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 570 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 570 days,Medium
wyatt.young,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,Okta,Alert,0.0.0.0,Active on Okta after termination. Remediation guidance: Immediately disable accounts on: Okta [MITRE: T1078 - Valid Accounts].,"Workday, Slack, ServiceNow, BambooHR",Workday,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on Okta after termination,High
suzanne.hart,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 550 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 550 days,Medium
kristin.mendoza,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 223 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 223 days but holds admin privilege,Medium
melissa.padilla,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 781 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 781 days,Medium
elizabeth.ward,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 434 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 434 days,Medium
elizabeth.ward,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
angel.shields,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy -> GG-Legal-Staff -> GG-Legal-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
joshua.white,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 128 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins -> GG-Dev-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 128 days but holds admin privilege,Medium
